Case Number,Case Type,Law Firm,Date,Status,Reference Number,View Options
2024/431477,Non-Muslims conjugal cases case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,12/12/2024,Case Filed,2024/998 Marital matters for non-Muslims,"Choose View Option
    View the application
    View the case"
2024/430588,Value-Specific Dispute Case Filing,سهاد الجبوري للمحاماة والإستشارات القانونية,11/12/2024,The Application Has Been Executed,2024/13248 Value-Specific Dispute,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/428747,Real estate Cassation Appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,10/12/2024,The Application Has Been Executed,"2024/660 Objection, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/425579,Cheques Execution,سهاد الجبوري للمحاماة والإستشارات القانونية,9/12/2024,The Application Has Been Executed,2024/30477 Cheques Execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/425417,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,9/12/2024,Case Filed,"2024/1187 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/423604,Order on Travel Ban,سهاد الجبوري للمحاماة والإستشارات القانونية,6/12/2024,The Application Has Been Executed,2024/1429 Order on Travel Ban,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/422241,Restricted jurisdiction civil case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/12/2024,The Application Has Been Executed,"2024/428 Civil, Partial","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/422009,Real Estate Execution case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,5/12/2024,Case Filed,"2024/1193 Execution, real estate","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/418792,Personal Status grievance case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2024,Case Filed,2024/629 Sharia grievance,"Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/418233,Personal status / appeal case filing,سهاد الجبوري للمحاماة والإستشارات القانونية,29-11-2024,Case Filed,"2024/638 Objection, personal status","Choose View Option
    View the application
    View the case
    View the payment receipt"
2024/416954,تسجيل منازعة موضوعية التنفيذ العقاري,سهاد الجبوري للمحاماة والإستشارات القانونية,28-11-2024,Case Filed,2024/18 Substantive dispute in real estate execution,"Choose View Option
    View the application
    View the case
    View the payment receipt"
